GEOID,total_pop,tot_workers,median_income,avg_commute,pctpoc,pctpov,pct_wo_car,pct_transit_users
06059099404,4545,2170,145650,28.1,31.375137513751376,3.9823982398239823,0.176017601760176,0
06059099405,4264,2372,118297,29.1,33.98217636022514,13.78986866791745,0.16416510318949346,0.7166947723440135
06059099406,4617,2005,120158,30.7,30.084470435347626,8.078839072991121,1.299545159194282,1.2468827930174564
06059099407,2133,1138,112500,26.6,27.332395686826068,8.813877168307547,4.125644631973746,0
06059099408,3878,1962,119082,32.2,32.51676121712222,3.1717380092831355,0.6188757091284167,0
06059099410,4525,2504,100588,26.5,36.751381215469614,17.502762430939224,3.027624309392265,0
06059099411,5123,3111,78798,27.9,45.93011907085692,16.06480577786453,0.8393519422213548,0
06059099412,4775,2168,103152,32.2,32.83769633507853,10.764397905759163,0,0
06059099415,4779,2381,153571,32.8,18.706842435655997,1.94601381042059,0.35572295459301106,0
06059099416,5854,3591,99718,33.2,32.900580799453365,7.379569525111035,3.160232319781346,0
06059099417,5470,2639,132721,34.7,26.691042047531994,6.288848263254114,1.023765996343693,0.7199696854869269
06059099418,3981,1987,76828,24.3,37.930168299422256,11.906556141672947,12.559658377292138,1.509813789632612
06059099419,3933,2057,139875,33.2,35.875921688278666,2.5680142384947877,1.0424612255275871,0.8750607681088965
06059099502,649,308,93466,25.8,47.45762711864407,0.6163328197226503,0,0
06059099504,3554,1387,167827,31,12.774338773213282,2.6449071468767587,1.0129431626336522,0
06059099506,863,515,124934,22.3,16.33835457705678,2.7809965237543453,1.3904982618771726,0
06059099508,5329,2704,91950,32.2,26.027397260273972,8.800900731844624,1.3886282604616251,0
06059099509,3433,424,49928,25.3,32.566268569764055,10.690358287212351,10.690358287212351,2.8301886792452833
06059099510,4262,702,42707,34.5,34.3969967151572,6.54622243078367,15.509150633505397,6.41025641025641
06059099511,2662,1583,125101,30.5,15.251690458302027,7.4004507888805415,2.2163786626596544,0
06059099512,3247,1784,113512,29.5,27.409916846319682,8.7157376039421,2.5254080689867573,0
06059099513,1749,979,123705,35,29.674099485420243,4.859919954259577,0.628930817610063,0
06059099514,5227,2297,158286,30.6,27.51100057394299,4.266309546585039,0.4591543906638607,0
06059099601,7364,3453,70865,26.2,82.67246061922869,17.734926670287887,2.8517110266159698,0.4923255140457573
06059099602,2953,1572,126250,28.2,56.992888587876735,9.549610565526583,2.4381984422621064,0
