GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
370010205021,Glen Raven,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,2567,3032.0,3.4938,Forest,Google,0.5,0.5529,0.0,0.517360729131814,0.752968337730871,0.752968337730871,0.486308149125701,0.550033741141441,0.09983498349835,0.222213350367295,0.952350289761751,0.487796833773087,0.476175144880876,0.044109878499736,0.279767473789202,0.597000072338952,-1.5,0.367980884109916,100,100.0,,0.429749340369393,0.058047493403694,Yes,1.0,2,,,,,,,,,
370010205022,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1022,386.0,0.6424,Forest,Google,0.5,0.393,0.107,0.514748178339698,0.572538860103627,0.572538860103627,0.61878453038674,0.69986976533493,0.038961038961039,0.086719731881022,0.730941704035874,0.422279792746114,0.365470852017937,0.044109878499736,0.279767473789202,0.597000072338952,4.94,0.624452409398646,85,84.0,,0.124352331606218,0.297927461139896,Yes,24.0,47,,,,,,,,,
370010205023,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,710,923.0,1.3169,Forest,Google,0.5,0.3907,0.1093,0.474297999185291,0.848320693391116,0.848320693391116,0.25,0.282759882869693,0.066666666666667,0.148387096774193,0.233957219251337,0.189599133261105,0.116978609625668,0.044109878499736,0.279767473789202,0.597000072338952,5.28,0.637992831541219,86,84.0,,0.115926327193933,0.073672806067172,Yes,21.0,47,,,,,,,,,
370010206011,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,887,914.0,1.7161,Forest,Google,0.5,0.45,0.05,0.270419078416515,0.13019693654267,0.13019693654267,0.091903719912473,0.103946740310959,0.0,0.0,0.788649706457926,0.440919037199125,0.394324853228963,0.0,0.0,0.196415819369636,1.83,0.500597371565114,96,84.0,,0.096280087527352,0.344638949671772,,9.0,47,,,,,,,,,
370010206012,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,921,1065.0,1.9685,Forest,Google,0.5,0.4202,0.0798,0.261903065481417,0.083568075117371,0.083568075117371,0.018779342723005,0.021240178994906,0.0,0.0,1.005649717514124,0.501408450704225,0.502824858757062,0.0,0.0,0.196415819369636,0.69,0.455197132616487,94,84.0,,0.262910798122066,0.23849765258216,,11.0,47,,,,,,,,,
370010206013,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1362,1255.0,1.8844,Forest,Google,0.5,0.4691,0.0309,0.293625688113145,0.010358565737052,0.010358565737052,0.12191235059761,0.137887687901396,0.022184300341297,0.049377958824177,1.119932432432432,0.528286852589641,0.559966216216216,0.0,0.0,0.196415819369636,3.12,0.551971326164875,97,84.0,,0.186454183266932,0.341832669322709,,6.0,47,,,,,,,,,
370010206021,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,688,625.0,0.4719,Forest,Google,0.5,0.429,0.071,0.429139519172178,0.3488,0.3488,0.576,0.651478770131771,0.068627450980392,0.152751423149905,0.947040498442368,0.4864,0.473520249221184,0.0,0.0,0.292643029991219,5.35,0.640780565511748,91,84.0,,0.3488,0.1376,Yes,16.0,47,,,,,,,,,
370010206022,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1821,2003.0,2.3197,Forest,Google,0.5,0.4916,0.0084,0.316459789470667,0.042436345481777,0.042436345481777,0.15380658436214,0.173961327115305,0.0,0.0,1.265837104072398,0.558662006989516,0.632918552036199,0.0,0.0,0.292643029991219,2.86,0.541616885702907,99,84.0,,0.134797803295057,0.423864203694458,,3.0,47,,,,,,,,,
370010207011,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,906,1216.0,1.231,Forest,Google,0.5,0.2223,0.2777,0.427328991080033,0.294407894736842,0.294407894736842,0.437869822485207,0.495248078872361,0.100371747211896,0.223408082503897,0.318872017353579,0.241776315789474,0.15943600867679,0.002368373109856,0.015021437022064,0.402974394561224,13.25,0.955396256471525,68,84.0,,0.052631578947368,0.189144736842105,Yes,44.0,47,,,,,,,,,
370010207012,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1520,1445.0,1.5401,Forest,Google,0.5,0.3491,0.1509,0.368361214019435,0.10242214532872,0.10242214532872,0.400694444444444,0.45320125671059,0.0,0.0,0.896325459317585,0.472664359861592,0.448162729658793,0.002368373109856,0.015021437022064,0.402974394561224,5.97,0.66547192353644,85,84.0,,0.115570934256055,0.357093425605536,,24.0,47,,,,,,,,,
